date,level,longitude,latitude,speed,level_process,level_diff_process,state
2022/9/20 14:16,371,113.14291,23.07004,27.08,353.5,-24.61111111,2
2022/9/20 14:17,336,113.13846,23.07027,27.26,328.8888889,-24.61111111,2
2022/9/20 14:18,300,113.13638,23.06995,26.33,304.2777778,-24.61111111,2
2022/9/20 14:19,269,113.14052,23.06981,26.69,279.6666667,0.333333333,0
2022/9/20 14:20,270,113.14516,23.06957,27.24,280,0.333333333,0
2022/9/20 14:21,281,113.14759,23.06946,15,280.3333333,0.333333333,0
2022/9/20 14:22,283,113.14759,23.06951,0.1,280.6666667,-1.333333333,0
2022/9/20 14:23,278,113.14759,23.06951,0.08,279.3333333,-1.333333333,0
2022/9/20 14:24,278,113.14762,23.06955,0.18,278,-1.333333333,0
2022/9/20 14:25,278,113.14769,23.06958,0.87,276.6666667,-1.111111111,0
2022/9/20 14:26,274,113.14769,23.06958,0.01,275.5555556,-1.111111111,0
2022/9/20 14:27,272,113.14769,23.06958,0,274.4444444,-1.111111111,0
2022/9/20 14:28,274,113.14769,23.06958,0,273.3333333,0,0
2022/9/20 14:29,274,113.14774,23.06959,0.07,273.3333333,0,0
2022/9/20 14:30,274,113.14774,23.06959,0,273.3333333,0,0
2022/9/20 14:31,273,113.14774,23.06959,0,273.3333333,-0.111111111,0
2022/9/20 14:32,273,113.14774,23.06959,0,273.2222222,-0.111111111,0
2022/9/20 14:33,273,113.14774,23.06959,0.14,273.1111111,-0.111111111,0
2022/9/20 14:34,273,113.14774,23.06959,0.07,273,0.666666667,0
2022/9/20 14:35,273,113.14774,23.06959,0,273.6666667,0.666666667,0
2022/9/20 14:36,273,113.14774,23.06959,0,274.3333333,0.666666667,0
2022/9/20 14:37,273,113.14779,23.06958,0.65,275,63.66666667,-1
2022/9/20 14:38,279,113.14785,23.06957,0.14,338.6666667,63.66666667,-1
2022/9/20 14:39,344,113.14789,23.06954,0.01,402.3333333,63.66666667,-1
2022/9/20 14:40,472,113.14789,23.06954,0.11,466,57,-1
2022/9/20 14:41,582,113.14789,23.06954,0.04,523,57,-1
2022/9/20 14:42,637,113.14789,23.06954,0.03,580,57,-1
2022/9/20 14:43,614,113.14933,23.06975,10.07,637,-3.888888889,0
2022/9/20 14:44,637,113.14631,23.07013,21.69,633.1111111,-3.888888889,0
2022/9/20 14:45,619,113.14192,23.07035,24.8,629.2222222,-3.888888889,0
2022/9/20 14:46,629,113.14078,23.07295,23.99,625.3333333,-3.111111111,0
2022/9/20 14:47,628,113.13957,23.07274,13.34,622.2222222,-3.111111111,0
2022/9/20 14:48,627,113.13978,23.07302,4.07,619.1111111,-3.111111111,0
2022/9/20 14:49,609,113.13978,23.07302,0,616,-1.333333333,0
2022/9/20 14:50,612,113.13978,23.07302,0.13,614.6666667,-1.333333333,0
2022/9/20 14:51,612,113.13978,23.07302,0,613.3333333,-1.333333333,0
2022/9/20 14:52,612,113.13978,23.07302,0,612,0.888888889,0
2022/9/20 14:53,612,113.13978,23.07302,0,612.8888889,0.888888889,0
2022/9/20 14:54,612,113.13978,23.07302,0,613.7777778,0.888888889,0
2022/9/20 14:55,612,113.13978,23.07302,0.38,614.6666667,1.888888889,0
2022/9/20 14:56,590,113.14007,23.07342,3.21,616.5555556,1.888888889,0
2022/9/20 14:57,628,113.14007,23.07342,0.19,618.4444444,1.888888889,0
